,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Gfpt2,-17.540956,,,0.9832790261321174,1.0,,-17.540956
Krt77,-16.862532,,,0.9832790261321174,1.0,,-16.862532
Gpha2,-16.960648,,,0.9832790261321174,1.0,,-16.960648
Uncx,-17.381153,,,0.9832790261321174,1.0,,-17.381153
Gm5493,-16.795864,,,0.9832790261321174,1.0,,-16.795864
Gm4907,-16.297089,,,0.9832790261321174,1.0,,-16.297089
Rhoj,-17.137756,,,0.9832790261321174,1.0,,-17.137756
Slc14a2,-16.863192,,,0.9832790261321174,1.0,,-16.863192
4933424G06Rik,-17.22002,,,0.9832790261321174,1.0,,-17.22002
Gm43986,-17.868244,,,0.9832790261321174,1.0,,-17.868244
Clip3,-17.344706,,,0.9832790261321174,1.0,,-17.344706
Lilr4b,-17.06726,,,0.9832790261321174,1.0,,-17.06726
Cnih3,-17.65774,,,0.9832790261321174,1.0,,-17.65774
Ednra,-16.74563,,,0.9832790261321174,1.0,,-16.74563
Tceal7,-16.927101,,,0.9832790261321174,1.0,,-16.927101
Csf3,-17.497807,,,0.9832790261321174,1.0,,-17.497807
Dbx2,-17.29467,,,0.9832790261321174,1.0,,-17.29467
Kcnk2,-16.645573,,,0.9832790261321174,1.0,,-16.645573
Gm42529,-17.374111,,,0.9832790261321174,1.0,,-17.374111
Gm26836,-17.605654,,,0.9832790261321174,1.0,,-17.605654
Ankrd34b,-17.47429,,,0.9832790261321174,1.0,,-17.47429
Rasl10b,-17.26952,,,0.9832790261321174,1.0,,-17.26952
6530409C15Rik,-18.410809,,,0.9832790261321174,1.0,,-18.410809
Jsrp1,-17.477625,,,0.9832790261321174,1.0,,-17.477625
